Monomer,Monomer HOMO,Monomer LUMO,Monomer relative HOMO,Monomer relative LUMO,Monomer Gap,Monomer E_TS,Oligomer E_TS
552,-7.28957630688935,2.17541417782225,1.6717314405467505,0.4398992507183001,9.4649904847116,3.578028285588516,1.5276242991676554
471,-7.217738250357351,-0.0570894858349,1.7435694970787496,-1.79260441293885,7.160648764522451,1.8246847311129384,0.9568497150903568
472,-10.55450713072855,-0.83318539884595,-1.5931993832924505,-2.5687003259499,9.7213217318826,3.824600985855795,0.7184787984297145
804,-7.89954671417015,0.9225203759651,1.0617610332659506,-0.81299455113885,8.82206709013525,2.987465854472248,-0.3286057743243873
1072,-8.29862888731345,3.48972407573725,0.6626788601226501,1.7542091486333,11.7883529630507,6.9766929987381445,1.1891070499550551
976,-10.59684804586635,-0.8758256392193,-1.63554029843025,-2.61134056632325,9.72102240664705,4.241619815566082,0.7857377230830025
665,-8.0792779124254,0.59954844680665,0.8820298350106999,-1.1359664802973,8.678826359232051,2.6983916918952677,1.1570324461354176
104,-6.7444778415677495,-1.03563810361795,2.2168299058683507,-2.7711530307219,5.708839737949799,0.8847828108337126,0.5840221747057512
1116,-8.0323110618291,1.5932810174476,0.9289966856070002,-0.14223390965635,9.6255920792767,3.6905321243975777,1.3072833740734495
913,-6.4835478703233,-0.58088143666235,2.4777598771128,-2.3163963637663,5.902666433660951,1.01090213826501,-0.9258317294006702
41,-8.91017755492715,0.2257456503748,0.0511301925089497,-1.5097692767291502,9.13592320530195,1.94777842464282,0.8220891402452253
67,-7.31564481376725,2.3204236487537,1.6456629336688504,0.5849087216497499,9.63606846252095,3.845961106777395,1.0772475767298602
51,-8.6822277823633,1.57948484522725,0.2790799650727997,-0.1560300818766999,10.261712627590551,3.79255005597588,1.2881948595459107
723,-10.23950813738975,-0.13973046223175,-1.2782003899536498,-1.8752453893357,10.099777675158,5.274832296319801,0.6703853964863811
663,-8.335935696217,-0.2995429266304,0.6253720512191006,-2.03505785373435,8.0363927695866,2.480776531254378,-1.5134550588554703
440,-8.776732922641951,-0.62539926260415,0.184574824794149,-2.3609141897081,8.151333660037801,3.5262632514641155,1.1886689466482494
766,-9.7295939929378,0.7872253694965,-0.7682862455016988,-0.94828955760745,10.5168193624343,5.4277763350200985,1.3396899567451328
1118,-7.2888960222631,1.7468892860548502,1.6724117251730002,0.0113743589509001,9.03578530831795,3.439406959416374,1.48208414146211
332,-9.4834942265456,-2.5668499517665,-0.5221864791095001,-4.30236487887045,6.916644274779101,1.618578897900079,0.21099245373625308
542,-9.1739375102168,1.20451195923825,-0.2126297627807005,-0.5310029678657,10.37844946945505,4.738702703514719,1.398508726095315
