,Monomer,Singlet HOMO,Singlet LUMO,Singlet Gap,Triplet Energy,E_TS,Relative HOMO,Relative LUMO
338,61,-7.470477594701749,-1.8399794343109,5.630498160390849,-33483.31524555303,1.9689399024500744,0.6043104391904004,-2.8076434980739498
600,62,-6.6905176650136005,-1.8869734962922502,4.80354416872135,-52171.14877845074,1.3722023917216575,1.384270368878549,-2.8546375600553002
1069,63,-6.9728629962924,0.0402184271039,7.0130814233963,-23327.521195462097,3.187160141140339,1.1019250375997496,-0.92744563665915
210,64,-6.886983865074599,0.87585285060435,7.762836715678949,-10351.206328718697,3.6506217301703145,1.18780416881755,-0.0918112131587
159,65,-6.5858626781113,0.43818493346015,7.02404761157145,-20955.05767732511,3.0765989231149433,1.4889253557808493,-0.5294791303029001
840,66,-7.0288368153402505,-0.39034731854225,6.638489496798001,-17053.419215185786,2.5925459347818105,1.0459512185518989,-1.3580113823053002
885,67,-6.479275682870449,1.56359339635805,8.042869079228499,-19619.617488566684,3.773031601591356,1.5955123510217,0.5959293325949999
1010,68,-6.78649222008495,-0.1865612559028,6.599930964182151,-40564.30877514763,3.0265982751952833,1.2882958138071992,-1.15422531966585
87,69,-7.6178272447475,1.20766847990405,8.82549572465155,-11452.536170332678,4.20379898360261,0.45696078914464966,0.240004416141
606,70,-7.396462627365749,-1.02350182588565,6.372960801480099,-35854.56569075693,2.554600202551228,0.6783254065264002,-1.9911658896487001
648,71,-9.1509711012346,-1.25920684318875,7.89176425804585,-26705.221852933762,3.2922986743542424,-1.0761830673424502,-2.2268709069518
690,72,-7.711488832089599,1.58068214616945,9.29217097825905,-16895.81233177854,4.082505867423606,0.36329920180255026,0.6130180824064
380,73,-7.48000157946925,-0.26299803650825,7.217003542961,-43987.74415006784,3.0672907246334944,0.5947864544228993,-1.2306621002713
1028,74,-8.7182012333994,-1.5696071124541,7.1485941209453,-27443.73646219457,3.5055894016768434,-0.6434131995072505,-2.53727117621715
1135,75,-5.590306944672,-0.9238809452176001,4.6664259994544,-13492.663872727657,1.0444543202593195,2.484481089220149,-1.8915450089806503
822,76,-7.2951274294395505,-0.3821022688721,6.91302516056745,-21691.6544164667,2.6966912524439977,0.7796606044525989,-1.3497663326351501
559,77,-6.4453975084832,-1.52413688803555,4.921260620447651,-10483.874889036904,0.8869700619670766,1.6293905254089491,-2.4918009517986
200,78,-7.66890301448635,1.9829480513636002,9.65185106584995,-14656.474230801414,4.5420321459514525,0.40588501940579924,1.0152839876005502
656,79,-7.17953346574715,-0.0303134829457,7.14921998280145,-30543.33774787469,2.8201659053593175,0.895254568144999,-0.99797754670875
906,80,-8.11914259152365,0.56205115820775,8.6811937497314,-24672.051835568724,3.7526660567928047,-0.04435455763150031,-0.40561290555530005
879,81,-7.929805774345749,-0.83285886222535,7.0969469121204,-33065.28165349482,3.0573144866357325,0.1449822595464001,-1.8005229259884001
1138,82,-6.85642547966345,0.463137773551,7.31956325321445,-23299.368365606282,3.016661221608956,1.2183625542286993,-0.50452629021205
468,83,-8.725303404897451,-1.70438510260675,7.020918302290701,-28256.787224163636,2.8970222855241445,-0.6505153710053015,-2.6720491663698
84,84,-7.6452018981078,-1.0507404223207002,6.594461475787099,-22220.849178271845,2.43511555502846,0.42958613578434957,-2.0184044860837504
655,85,-8.7183100789396,-1.6692007817371,7.0491092972025005,-11870.170286469001,2.623770182784938,-0.643522045047451,-2.63686484550015
826,86,-6.7167494402018,-0.17564949049775,6.5410999497040505,-42667.1543142875,2.9979830547890742,1.358038593690349,-1.1433135542608
126,87,-7.942976084709951,-1.41442058351395,6.528555501196001,-13895.438384014979,2.7886202908994164,0.13181194918219852,-2.382084647277
691,88,-6.97419635415985,0.2649300448468,7.23912639900665,-23332.775718269073,2.877407774954918,1.1005916797322994,-0.7027340189162501
163,89,-6.29674171195505,-0.1758399701931,6.1209017417619505,-34687.39398103754,2.4444289236780605,1.778046321937099,-1.14350403395615
