run,gen,filename,gap
1,13,221_153_01010101,0.013113
1,13,221_772_01010101,0.013858
1,13,221_465_01010101,0.015420
1,13,221_56_01010101,0.015737
1,13,778_989_01010101,0.016864
1,13,190_863_01010101,0.017717
1,13,461_352_01010101,0.025292
1,13,221_319_01010101,0.027732
1,13,461_56_01010101,0.027838
1,13,778_1189_01010101,0.029869
1,13,221_427_01010101,0.032136
1,13,461_822_01010101,0.083044
1,13,778_1020_01010101,0.144266
1,13,778_319_01010101,0.164582
1,13,778_204_01010101,0.172363
1,13,221_647_01010101,0.270697
1,13,1050_98_01010101,0.347761
1,13,221_352_01010101,0.536163
1,13,967_465_01010101,0.550238
1,13,1194_1189_01010101,0.638472
1,13,221_863_01010101,0.768696
1,13,190_153_01010101,0.788206
1,13,1174_264_01010101,0.871715
1,13,1176_264_01010101,0.920800
1,13,1035_863_01010101,2.516804
1,14,778_153_01010101,0.001834
1,14,778_98_01010101,0.004275
1,14,221_1012_01010101,0.006246
1,14,778_772_01010101,0.007363
1,14,778_1012_01010101,0.008222
1,14,778_264_01010101,0.010858
1,14,221_98_01010101,0.010958
1,14,221_153_01010101,0.013113
1,14,221_772_01010101,0.013858
1,14,221_465_01010101,0.015420
1,14,221_56_01010101,0.015737
1,14,778_989_01010101,0.016864
1,14,221_264_01010101,0.017491
1,14,190_863_01010101,0.017717
1,14,461_352_01010101,0.025292
1,14,221_319_01010101,0.027732
1,14,461_56_01010101,0.027838
1,14,778_787_01010101,0.124425
1,14,461_691_01010101,0.127062
1,14,778_399_01010101,0.134164
1,14,461_926_01010101,0.139003
1,14,461_646_01010101,0.162421
1,14,778_319_01010101,0.164582
1,14,778_863_01010101,0.187558
1,14,778_1045_01010101,0.231013
1,14,190_145_01010101,0.231228
1,14,541_98_01010101,0.421025
1,14,221_880_01010101,0.468128
1,14,1065_153_01010101,0.605300
1,14,51_772_01010101,0.695108
1,14,221_863_01010101,0.768696
1,14,408_863_01010101,1.172862
1,15,778_153_01010101,0.001834
1,15,778_98_01010101,0.004275
1,15,221_1012_01010101,0.006246
1,15,778_772_01010101,0.007363
1,15,778_1012_01010101,0.008222
1,15,221_924_01010101,0.008417
1,15,778_264_01010101,0.010858
1,15,221_98_01010101,0.010958
1,15,221_153_01010101,0.013113
1,15,221_772_01010101,0.013858
1,15,221_465_01010101,0.015420
1,15,221_56_01010101,0.015737
1,15,778_989_01010101,0.016864
1,15,221_264_01010101,0.017491
1,15,190_863_01010101,0.017717
1,15,221_785_01010101,0.017983
1,15,461_352_01010101,0.025292
1,15,221_319_01010101,0.027732
1,15,221_357_01010101,0.062893
1,15,778_206_01010101,0.124160
1,15,778_1201_01010101,0.236219
1,15,287_1012_01010101,0.266097
1,15,221_947_01010101,0.355147
1,15,190_264_01010101,0.464433
1,15,995_56_01010101,0.574583
1,15,1088_153_01010101,0.591409
1,15,1115_772_01010101,0.608106
1,15,221_899_01010101,0.646222
1,15,466_264_01010101,0.777802
1,15,282_465_01010101,0.887228
1,15,380_772_01010101,1.008328
1,15,1091_319_01010101,1.473169
1,16,778_153_01010101,0.001834
1,16,778_98_01010101,0.004275
1,16,221_1012_01010101,0.006246
1,16,778_772_01010101,0.007363
1,16,778_1012_01010101,0.008222
1,16,221_924_01010101,0.008417
1,16,778_40_01010101,0.009509
1,16,778_264_01010101,0.010858
1,16,221_98_01010101,0.010958
1,16,221_153_01010101,0.013113
1,16,221_772_01010101,0.013858
1,16,778_1141_01010101,0.014319
1,16,221_465_01010101,0.015420
1,16,221_56_01010101,0.015737
1,16,778_989_01010101,0.016864
1,16,221_264_01010101,0.017491
1,16,190_863_01010101,0.017717
1,16,221_785_01010101,0.017983
1,16,221_493_01010101,0.078041
1,16,778_399_01010101,0.134164
1,16,778_1187_01010101,0.154726
1,16,778_1170_01010101,0.164843
1,16,190_98_01010101,0.284682
1,16,221_91_01010101,0.328331
1,16,221_1175_01010101,0.344005
1,16,190_772_01010101,0.497857
1,16,221_390_01010101,0.609879
1,16,197_772_01010101,0.737590
1,16,442_264_01010101,0.875345
1,16,553_772_01010101,1.113760
1,16,86_785_01010101,1.157133
1,16,21_863_01010101,2.610376
