Donor,Acceptor,Singlet Energy,Singlet Spin,Singlet HOMO,Singlet LUMO,Triplet Energy,Triplet Spin,Triplet HOMO,Triplet LUMO,Delta Energy,Singlet HLGap,Triplet HLGap
10,8,-192823.54213518742,1.0,-6.19948822178635,-0.8950912998347,-192821.79546549724,3.0,-4.76240055452575,-0.6053988945924,1.7466696901828982,5.30439692195165,4.15700165993335
10,9,-410868.13361160713,1.0,-6.18854924499625,-0.9988755224154,-410866.47391630645,3.0,-4.81513621875265,-0.72493850911705,1.6596953006810509,5.18967372258085,4.0901977096356
11,1,-217163.2869369587,1.0,-6.8271188179646005,-1.5302594496718,-217161.6501043916,3.0,-5.64165482826135,-1.35580726011625,1.6368325671064667,5.2968593682928,4.2858475681451
11,10,-224399.25548994183,1.0,-6.71089899241605,-1.5645457948348,-224398.1053240166,3.0,-5.7505275798464,-1.46106089748965,1.15016592523898,5.14635319758125,4.28946668235675
11,11,-225715.2823212992,1.0,-6.25434637404715,-1.3245413786937998,-225714.0635903028,3.0,-5.3659218635497,-1.1247009668866002,1.2187309963919688,4.92980499535335,4.2412208966631
11,12,-266233.72402491665,1.0,-7.0158025619013005,-1.5538789318952,-266232.2090207137,3.0,-6.1332012878045505,-1.51499386265875,1.5150042029563338,5.4619236300061,4.6182074251458
11,2,-435207.42542322015,1.0,-6.609591005874901,-1.5332527020273001,-435205.99811178714,3.0,-5.601572458082701,-1.3896582231184502,1.4273114330135286,5.0763383038476,4.211914234964251
11,3,-436950.7567879716,1.0,-6.7822744554022,-1.8603879730984,-436949.38766373176,3.0,-5.8269915718369,-1.6939631421326,1.3691242398344912,4.921886482303799,4.1330284297043
11,4,-245906.88386869177,1.0,-6.2385365593331,-2.1181070009069503,-245906.31406854742,3.0,-5.882557220109001,-1.7770939234603502,0.5698001443524845,4.120429558426149,4.105463296648651
11,5,-245967.95669731774,1.0,-4.871409363036051,-3.2502366759122,-245971.33460001624,3.0,-6.3128236405196,-1.5226946846279001,-3.3779026984993834,1.6211726871238508,4.790128955891699
11,6,-252068.72961109882,1.0,-6.33227978083035,-2.0002272808703503,-252068.31796624555,3.0,-6.08623443720825,-1.5816889674163,0.4116448532731738,4.33205249996,4.5045454697919505
11,7,-272261.8024101615,1.0,-6.2998165984657,-2.67082465404255,-272262.0816318979,3.0,-6.4244447419947,-2.06471826343885,-0.27922173641854897,3.62899194442315,4.359726478555849
11,8,-196971.03569265912,1.0,-6.79149911493415,-0.77908916536655,-196968.7775964157,3.0,-4.99859537675975,-0.5514115066532,2.2580962434294634,6.0124099495676,4.44718387010655
11,9,-415015.59930813074,1.0,-6.75873660733395,-0.8962886007769001,-415013.49471675267,3.0,-5.109209656988001,-0.6682844054429501,2.104591378069017,5.86244800655705,4.440925251545051
1,1,-242282.70718895236,1.0,-6.2956532565530505,-1.5585048673537,-242281.38979165067,3.0,-5.31272360577695,-1.3369497702766,1.3173973016964737,4.73714838919935,3.9757738355003496
1,10,-249518.5431345975,1.0,-6.3198986006326,-1.6868337592495002,-249517.4903808048,3.0,-5.58897358680455,-1.35760321152955,1.052753792697331,4.633064841383099,4.2313703752750005
1,11,-250834.20393647155,1.0,-5.66255317197975,-1.51793269224415,-250833.5791696015,3.0,-5.21449050574645,-1.0552847236240501,0.6247668700525537,4.1446204797356,4.1592057821224
1,12,-291352.78496221715,1.0,-6.5956587767293,-1.5344227915844502,-291351.3319428282,3.0,-5.84568579336625,-1.48043540364525,1.4530193889513612,5.061235985144849,4.365250389721
1,2,-460326.42041811,1.0,-6.0854453070418,-1.5862604801047,-460325.3750244527,3.0,-5.3417581536253005,-1.3096295396864,1.045393657288514,4.4991848269371,4.032128613938901
1,3,-462069.8578788273,1.0,-6.2269445093018,-1.90346359563255,-462068.84552387317,3.0,-5.5089993261426,-1.6598400652799,1.0123549541458488,4.3234809136692505,3.8491592608627005
1,4,-271025.9717525562,1.0,-5.6227429156516004,-2.2098637912955503,-271026.08763849805,3.0,-5.6419541534969,-1.60898198662145,-0.11588594183558598,3.41287912435605,4.0329721668754495
1,5,-271087.82307923463,1.0,-4.8786748028444,-2.92655725074245,-271090.5443508033,3.0,-5.8731420808817,-1.4404074562367,-2.721271568676457,1.9521175521019498,4.432734624645001
1,6,-277187.56970281195,1.0,-5.6022799540940005,-2.1878497807901,-277188.0613164836,3.0,-5.867291633095951,-1.4429653264314,-0.4916136716492474,3.4144301733039004,4.42432630666455
